Clave Municipio,OC Identificada,Colonias
11035,Cártel de Santa Rosa de Lima,Pozos; Rincón de Centeno; San Antonio de Morales; San Antonio de Romerillo; San José de Manantiales; Santiago de Cuenda; Franco Tavera
11035,Los Escorpiones,""
11035,Paramilitares Colombianos,""
11036,Cártel Jalisco Nueva Generación,""
11036,Cártel de Santa Rosa de Lima,""
11036,Los Escorpiones,""
11037,Cártel Jalisco Nueva Generación,""
11037,Cártel de Santa Rosa de Lima,""
11037,Cártel de Sinaloa,""
11037,Fuerzas Especiales Grupo Sombra,""
11037,Grupo Élite,""
11039,Cártel Jalisco Nueva Generación,""
11039,Cártel de Santa Rosa de Lima,""
11039,Paramilitares Colombianos,""
11041,Cártel Jalisco Nueva Generación,""
11041,Cártel de Santa Rosa de Lima,""
11042,Cártel Jalisco Nueva Generación,""
11042,Cártel de Santa Rosa de Lima,Magdalena de Araceo; Las Jícamas
11042,Grupo Élite,""
11044,Cártel Jalisco Nueva Generación,Santa Rosa de Lima
11044,Cártel de Santa Rosa de Lima,Los Ángeles; San Salvador Torrecillas; Santa Rosa de Lima; Suchitlán; 18 de Marzo
11044,Los Escorpiones,""
11044,Paramilitares Colombianos,""
11046,Cártel Jalisco Nueva Generación,Santa Mónica Ozumbilla
11046,Cártel de Santa Rosa de Lima,Buenavista de la Libertad; La Angostura; Buenavista (Buena Vista de Cerano)
11046,Cárteles Unidos,""
12000,Cártel Jalisco Nueva Generación,""
12000,Cártel de Los Beltrán Leyva,""
12000,Cártel de Sinaloa,""
12000,Cártel de Sinaloa (Los Guzmán),""
12000,Cártel de Sinaloa (Los Zambada),""
12000,Cárteles Unidos,""
12000,Grupo Calavera,""
12000,Guardia Guerrerense,""
12000,Guerreros Unidos,""
12000,La Barredora,""
12000,La Familia Michoacana,""
12000,La Nueva Familia Michoacana,""
12000,Los Arreola,""
12000,Los Añorve,""
12000,Los Caballeros Templarios,""
12000,Los Carrillo Salmerón,""
12000,Los Colombianos,""
12000,Los Cornudos,""
12000,Los Cuinis,""
12000,Los Granados,""
12000,Los Maldonado,""
12000,Los Malportados,""
12000,Los Mazatlecos,""
12000,Los Rodríguez,""
12000,Los Rojos,""
12000,Los Rusos (de Guerrero),San Nicolas (Municipio)
12000,Los Tequileros,""
12000,Los Viagra,""
12000,Sangre Nueva Guerrerense,""
12001,CJNG-CIDA,Juan R Escudero; La Venta; El Quemado
12001,Cártel Independiente de Acapulco,Emperador Moctezuma; La Laja; La Venta; Las Cruces; Las Playas; Sinai; Central de abastos
12001,Cártel Jalisco Nueva Generación,Renacimiento; Los Órganos de Juan R. Escudero
12001,Cártel de Caborca,""
12001,Cártel de Sinaloa,""
12001,Cártel del Sur,""
12001,Flor Imperial,Juan R Escudero; La Venta; El Quemado
12001,Guardia Guerrerense,""
12001,Hermanos Magno Acevedo,""
12001,La Nueva Empresa,Plan de los Amates
12001,Las Goteras,""
12001,Los Amarillos,La Poza; Llano Largo; El Coloso INFONAVIT
12001,Los Arizmendi,Kilómetro 30; Ejido Nuevo
12001,Los Dumbos,Xaltianguis
12001,Los Hermanos Sánchez,""
12001,Los Rodríguez,""
12001,Los Rojos,""
12001,Los Rusos,""
12001,Los Rusos (de Guerrero),Bajos del Ejido; El Conchero; Granjas del Marqués; Kilómetro 30; La Laja; Las Playas; Obrera; Progreso; Renacimiento; Rubén Figueroa; Viejo; Bellavista
12001,Los Toluqueños,Magallanes
12001,Sangre Nueva Guerrerense,""
12002,Cártel Jalisco Nueva Generación,""
12002,Cártel del Sur,""
12002,Los Ardillos,""
12002,Los Rojos,""
12003,Cártel Jalisco Nueva Generación,Carrizalillo
12003,Guardia Guerrerense,""
12003,La Nueva Empresa,""
12003,La Nueva Familia Michoacana,""
12003,Los Maldonado,""
12003,Los Tequileros,""
12006,Gente Nueva,Apaxtla de Castrejón Centro
12006,La Nueva Empresa,Liberaltepec
12006,La Nueva Familia Michoacana,El Querengue; Lagunita; Tepoxtepec; Texocotla; Tlatzala; Cacalotepec
12006,Los Rojos,""
12006,Los Tlacos,""
12007,Cártel Jalisco Nueva Generación,""
12007,Guardia Guerrerense,""
12007,La Nueva Empresa,""
12007,La Nueva Familia Michoacana,""
12007,Los Maldonado,""
12007,Los Tlacos,""
12008,Cárteles Unidos,""
