state.code,state.name,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
06,Colima,Miguel Ángel,Aragón,Vázquez,2022-09-02,2023-12-04
06,Colima,José Benito,Romero,Líbano,2023-12-04,2024-06-17
06,Colima,Juan Carlos,Guzmán,Giadans,2024-06-17,2025-04-04
06,Colima,Víctor Hugo,Chávez,Martínez,2025-04-04,
07,Chiapas,Félix,González,Lara,2019-10-29,2020-11-09
07,Chiapas,Manuel,García,Morcillo,2022-04-16,2023-03-21
07,Chiapas,Víctor,Fernández,Mondragón,2023-03-21,2024-02-08
07,Chiapas,Antonio,Hernández,Tejeda,2024-02-08,2025-05-02
07,Chiapas,José Inés,Meléndez,Estrada,2025-05-02,
08,Chihuahua,Agustín,Reyna,Mendoza,2019-10-29,2020-02-25
08,Chihuahua,Martín,Álvarez,Maldonado,2020-02-25,2021-12-06
08,Chihuahua,Víctor,Fernández,Mondragón,2021-12-06,2023-04-03
08,Chihuahua,Ernesto,Gutiérrez,Tapia,2023-04-03,2023-10-09
08,Chihuahua,Jesús Gabriel,López,Gutiérrez,2023-10-09,2024-05-17
08,Chihuahua,Fernando,Colchado,Gómez,2024-05-17,2024-10-18
08,Chihuahua,Alejandro,Rivas,Salgado,2024-10-18,
