Estado,Organización A,Organización B,2022,2023,2024,2025,Relación
Oaxaca,Cártel San Luis Rey,Banda del Comandante Cromo,,,,2,Alianza
Tabasco,Cártel Tabasco Nueva Generación,La Barredora,,,4,1,Alianza
Aguascalientes,Cárteles Unidos,El 30,,,,3,Alianza
Aguascalientes,Cárteles Unidos,Fuerzas Especiales del Charro,,,,3,Alianza
Guanajuato,Cárteles Unidos,Cártel de Santa Rosa de Lima,,,1,,Alianza
Guerrero,Cárteles Unidos,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
México,Cárteles Unidos,La Nueva Familia Michoacana,,,,1,Alianza
Michoacán,Cárteles Unidos,Los Blancos de Troya,,,3,,Alianza
Michoacán,Cárteles Unidos,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Michoacán,Cárteles Unidos,Cártel de Tepalcatepec,,,2,,Alianza
Michoacán,Cárteles Unidos,La Nueva Familia Michoacana,,,,1,Alianza
Quintana Roo,Chapitos-CJNG,Cártel de Sinaloa (Los Guzmán),,,,6,Alianza
Quintana Roo,Chapitos-CJNG,Cártel Jalisco Nueva Generación,,,,6,Alianza
Guerrero,CJNG-CIDA,Cártel Independiente de Acapulco,,,,3,Alianza
Guerrero,CJNG-CIDA,Cártel Jalisco Nueva Generación,,,,3,Alianza
Guerrero,CJNG-CIDA,Flor Imperial,,,,3,Alianza
,Clan Zheng,Cártel de Sinaloa,1,,,,Alianza
,Clan Zheng,Cártel Jalisco Nueva Generación,1,,,,Alianza
,CNR,Cártel del Pelón de Playas,1,,,,Alianza
,Colombianos,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Colombianos,Cártel Nueva Plaza,1,,,,Alianza
,Comando XXIII,Cártel Jalisco Nueva Generación,1,,,,Alianza
Durango,Confederación Autónoma de Trabajadores y Empleados de México (CATEM),Los Cabrera,,,,1,Alianza
Distrito Federal,Don Agus,Los Rojos,,,4,,Alianza
Aguascalientes,El 30,Cárteles Unidos,,,,3,Alianza
Aguascalientes,El 30,Fuerzas Especiales del Charro,,,,3,Alianza
Aguascalientes,El Cártel del Primo,Cártel de Sinaloa,,,,1,Alianza
Aguascalientes,El Cártel del Primo,Cártel Jalisco Nueva Generación,,,,1,Alianza
,El Machete,Autodefensas de Chenalhó,1,,,,Alianza
,El Machete,Gente de la Selva,1,,,,Alianza
Chiapas,El Machete,Cártel Jalisco Nueva Generación,,,,1,Alianza
Chiapas,El Maíz,Cártel Jalisco Nueva Generación,,14,,,Alianza
Chihuahua,El Tren de Aragua,La Empresa,,,2,,Alianza
Chihuahua,El Tren de Aragua,La Línea,,,1,,Alianza
Distrito Federal,El Tren de Aragua,La Unión León,,,,1,Alianza
Quintana Roo,El Tren de Aragua,Cártel de Sinaloa,,,,1,Alianza
,Esquema Gan,Cártel de Sinaloa,1,,,,Alianza
,Esquema Gan,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Familia Gandarilla,La Línea,1,,,,Alianza
,Familia Meza Osorio,Los Paredes,1,,,,Alianza
,Familia Núñez Meza,Los Salgueiro,1,,,,Alianza
,Federación Guerrerense,Los Ardillos,1,,,,Alianza
,Federación Guerrerense,Los Tlacos,1,,,,Alianza
Morelos,Federación Morelense,Cártel Jalisco Nueva Generación,,,,1,Alianza
Morelos,Federación Morelense,Trébol,,,,1,Alianza
Guerrero,Flor Imperial,Cártel Independiente de Acapulco,,,,3,Alianza
Distrito Federal,Fuerza Anti-Unión Tepito,Cártel Jalisco Nueva Generación,,,14,,Alianza
Guerrero,Fuerza Guerrerense,La Nueva Familia Michoacana,,,1,,Alianza
,Fuerza Rural Comunitaria de Pueblos del Norte de Culiacán,Los Rusos,1,,,,Alianza
Sinaloa,Fuerzas Especiales Avendaño,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
Aguascalientes,Fuerzas Especiales del Charro,Cárteles Unidos,,,,3,Alianza
Aguascalientes,Fuerzas Especiales del Charro,El 30,,,,3,Alianza
Baja California,Fuerzas Especiales del Ranchero,Cabo 24,,,,1,Alianza
,Fuerzas Especiales Grupo Sombra,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Fuerzas Especiales Grupo Sombra,Cártel de Sinaloa,1,,,,Alianza
Veracruz,Fuerzas Especiales Grupo Sombra,Cártel del Golfo,,,,5,Alianza
,Fuerzas Especiales Mexicles,Nuevo Cártel de Juárez,1,,,,Alianza
Durango,Fuerzas Especiales Unión,Cártel Jalisco Nueva Generación,,,1,,Alianza
Durango,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
Jalisco,Fuerzas Especiales Unión,Cártel Jalisco Nueva Generación,,,1,,Alianza
Jalisco,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
Sinaloa,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Guzmán),,,,14,Alianza
Sinaloa,Fuerzas Especiales Unión,Cártel Jalisco Nueva Generación,,,,14,Alianza
,Gente de la Selva,El Machete,1,,,,Alianza
,Gente Nueva,La Barredora,1,,,,Alianza
,Gente Nueva,Los Cahuira,1,,,,Alianza
Durango,Gente Nueva,Los Cabrera,,,,5,Alianza
Morelos,Gente Nueva,Cártel del Noreste,,1,,,Alianza
,Gente Nueva del Jaguar,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
Aguascalientes,Gpo. Flechas Operativa M.Z.,Cártel de Sinaloa,,2,,,Alianza
Tamaulipas,Grupo Pantera,Los Zetas Vieja Escuela,,,,1,Alianza
Michoacán,Grupo Reacción,Cártel Jalisco Nueva Generación,,,,1,Alianza
,Grupo X-CJNG,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Guardia Guerrerense,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Guardia Michoacana,La Nueva Familia Michoacana,1,,,,Alianza
Guerrero,Guerrero Nueva Generación,Cártel Jalisco Nueva Generación,,,6,,Alianza
Guerrero,Guerrero Nueva Generación,La Nueva Familia Michoacana,,,5,,Alianza
Guerrero,Guerrero Nueva Generación,Los Rodríguez,,,5,,Alianza
Guerrero,Guerreros Unidos,Cártel del Sur,,,,2,Alianza
Guerrero,Guerreros Unidos,Los Tlacos,,,,2,Alianza
Morelos,Guerreros Unidos,Cártel Jalisco Nueva Generación,,4,,,Alianza
Quintana Roo,Hells Angels Motorcycle Club,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
Chiapas,Kaibiles,Cártel Chiapas y Guatemala,,,,1,Alianza
,La Bandera,Cártel de Sinaloa,1,,,,Alianza
,La Barredora,Banda del Chore,1,,,,Alianza
,La Barredora,Los Cebús,1,,,,Alianza
Oaxaca,La Barredora,Cártel Jalisco Nueva Generación,,,,1,Alianza
Baja California,La Bhardwaj,Cártel de Sinaloa,,,,1,Alianza
Chiapas,La Bhardwaj,Cártel de Sinaloa,,,,1,Alianza
Distrito Federal,La Bhardwaj,Cártel de Sinaloa,,,,1,Alianza
Quintana Roo,La Bhardwaj,Cártel de Sinaloa,,,,1,Alianza
México,La Chokiza,Cártel Jalisco Nueva Generación,,,,1,Alianza
México,La Chokiza,La Nueva Familia Michoacana,,,,1,Alianza
México,La Chokiza,Unión de Sindicatos y Organizaciones Nacionales,,,,2,Alianza
Chihuahua,La Empresa,El Tren de Aragua,,,1,,Alianza
Morelos,La Empresa,Cártel de Sinaloa,,,,1,Alianza
Baja California,La Gente de Aquiles,Cártel de Sinaloa (Los Zambada),,,,5,Alianza
,La Letra,Gente Nueva,1,,,,Alianza
Chihuahua,La Línea,Cártel Jalisco Nueva Generación,,,1,,Alianza
Chihuahua,La Línea,Cártel López,,,,1,Alianza
México,La Línea,Cártel de Tijuana Nueva Generación,,1,,,Alianza
México,La Línea,Cártel Jalisco Nueva Generación ,,1,,,Alianza
Chiapas,La Luz del Mundo,Cártel Jalisco Nueva Generación,,,,1,Alianza
Aguascalientes,La Mafia Filipina,Cártel Jalisco Nueva Generación,,1,,,Alianza
Distrito Federal,La Mafia Filipina,Cártel Jalisco Nueva Generación,,1,,,Alianza
Nayarit,La Mafia Filipina,Cártel Jalisco Nueva Generación,,1,,,Alianza
,La Mafia Mexicana,Cártel de Sinaloa,1,,,,Alianza
Distrito Federal,La Nueva Alianza,Cártel Jalisco Nueva Generación,,,,1,Alianza
México,La Nueva Alianza,Cártel Jalisco Nueva Generación,,5,10,,Alianza
México,La Nueva Alianza,La Unión Tepito,,5,10,,Alianza
,La Nueva Empresa,Los Arreola,1,,,,Alianza
,La Nueva Empresa,Los de Siempre,1,,,,Alianza
,La Nueva Empresa,Los Maldonado,1,,,,Alianza
Guerrero,La Nueva Familia Michoacana,Fuerza Guerrerense,,,1,,Alianza
México,La Nueva Familia Michoacana,Cártel de Santa Rosa de Lima,,34,,,Alianza
México,La Nueva Familia Michoacana,Cártel de Sinaloa,,34,,,Alianza
México,La Nueva Familia Michoacana,La Guardia Michoacana,,34,,,Alianza
México,La Nueva Familia Michoacana,Los Viagra,,34,,,Alianza
Michoacán,La Nueva Familia Michoacana,Cártel de Santa Rosa de Lima,,2,,,Alianza
Michoacán,La Nueva Familia Michoacana,Cártel de Sinaloa,,2,,,Alianza
Michoacán,La Nueva Familia Michoacana,La Guardia Michoacana,,2,,,Alianza
Michoacán,La Nueva Familia Michoacana,Los Viagra,,2,,,Alianza
Morelos,La Nueva Familia Michoacana,Cártel de Santa Rosa de Lima,,2,,,Alianza
Morelos,La Nueva Familia Michoacana,Cártel de Sinaloa,,2,,,Alianza
Morelos,La Nueva Familia Michoacana,La Guardia Michoacana,,2,,,Alianza
Morelos,La Nueva Familia Michoacana,Los Viagra,,2,,,Alianza
Aguascalientes,La Oficina,Cártel Jalisco Nueva Generación,,1,,,Alianza
Baja California Sur,La Oficina,Cártel de los Beltrán Leyva,,,,1,Alianza
Baja California Sur,La Oficina,Cártel del Golfo,,,,1,Alianza
Baja California Sur,La Oficina,La Nueva Familia Michoacana,,,,1,Alianza
Baja California Sur,La Oficina,Los Zetas Vieja Escuela,,,,1,Alianza
,La Reserva del Más Loco,Cártel de Tepalcatepec,1,,,,Alianza
,La Reserva del Más Loco,Cárteles Unidos,1,,,,Alianza
,La Reserva del Más Loco,Guardia Michoacana,1,,,,Alianza
,La Reserva del Más Loco,Los Tena,1,,,,Alianza
,La Sombra,La Nueva Empresa,1,,,,Alianza
Guerrero,La Tecampanera,Cártel Jalisco Nueva Generación,,,3,,Alianza
Guanajuato,La Unión León,Los Leches,,1,,,Alianza
Oaxaca,La Unión Oaxaca,Cártel Jalisco Nueva Generación,,1,,,Alianza
,Las Cabras,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Las Cabras,Cártel Nueva Plaza,1,,,,Alianza
,Las Leches,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Las Leches,Cártel Nueva Plaza,1,,,,Alianza
,Los Acapulco,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Los Acme,Cártel Jalisco Nueva Generación,1,,,,Alianza
Sonora,Los Alfa,Cártel de Sinaloa (Los Guzmán),,,,4,Alianza
,Los Álvarez,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Los Álvarez,Cártel Nueva Plaza,1,,,,Alianza
Guerrero,Los Ardillos,Cártel de los Beltrán Leyva,,,5,,Alianza
Chihuahua,Los Arellanes,La Línea,,,,1,Alianza
,Los Arizmendi,Los Rusos (de Guerrero),1,,,,Alianza
,Los Arreola,La Nueva Familia Michoacana,1,,,,Alianza
Chihuahua,Los Artistas Asesinos,Los Cabrera,,,,2,Alianza
Baja California,Los Arzate,Cártel de Los Arellano Félix,,1,,,Alianza
Baja California,Los Arzate,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Baja California,Los Arzate,Los Rusos,,1,,5,Alianza
Jalisco,Los Arzate,Los Rusos,,,,1,Alianza
Chiapas,Los Autónomos,Cártel Jalisco Nueva Generación,,,,1,Alianza
Distrito Federal,Los Balta,Fuerza Anti-Unión Tepito,,,,2,Alianza
,Los Blancos de Troya,Cártel de Sinaloa,1,,,,Alianza
,Los Blancos de Troya,Cárteles Unidos,1,,,,Alianza
Michoacán,Los Blancos de Troya,Cártel de la Virgen,,,3,1,Alianza
Michoacán,Los Blancos de Troya,Cártel Jalisco Nueva Generación,,,3,5,Alianza
Michoacán,Los Blancos de Troya,Los Viagra,,,4,5,Alianza
,Los Bonfiles,Banda de la Riviera Maya,1,,,,Alianza
,Los Bonfiles,Cártel de Sinaloa (Los Zambada),1,,,,Alianza
,Los Búfalos,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Los Búfalos,Cártel Nueva Plaza,1,,,,Alianza
