Clave Municipio,Colonia,OC Identificada,Acumulado,2023 a 2025
2002,Ejido Chiapas I,Los Pía,,1
2002,Ejido Chiapas I,Los Rusos,,1
2002,Ejido Chiapas I,Los Salazar,,1
2002,Ejido Chiapas II,Los Garibay,,1
2002,Ejido Chiapas II,Los Pía,,1
2002,Ejido Chiapas II,Los Rusos,,1
2002,Ejido Chiapas II,Los Salazar,,1
2002,Ejido Chiapas III,Los Garibay,,1
2002,Ejido Chiapas III,Los Pía,,1
2002,Ejido Chiapas III,Los Rusos,,1
2002,Ejido Chiapas III,Los Salazar,,1
2002,El Choropo (Colonia Colorado Número Uno),Cártel de Sinaloa (Los Guzmán),1,1
2002,El Cóndor,Los Rusos,,1
2002,El Robledo,Los Mudos,1,
2002,González Ortega,Los Ninis,1,
2002,Guadalupe Victoria,Los Garibay,,1
2002,Guadalupe Victoria,Los Pía,,1
2002,Guadalupe Victoria,Los Rusos,,1
2002,Guadalupe Victoria,Los Salazar,,1
2002,Independencia,Cártel del Mar,1,1
2002,Independencia,Los Rusos,,1
2002,Insurgentes Oeste,Los Rusos,,1
2002,La Puerta,Los Rusos,,1
2002,Los Algodones,Gpo. Flechas Operativa M.Z.,1,1
2002,Los Algodones,Los Garibay,,1
2002,Los Algodones,Los Pía,,1
2002,Los Algodones,Los Rusos,,1
2002,Los Algodones,Los Salazar,,1
2002,Los Manantiales,Los Rusos,,1
2002,Miguel Alemán,Los Garibay,,1
2002,Miguel Alemán,Los Pía,,1
2002,Miguel Alemán,Los Rusos,,1
2002,Miguel Alemán,Los Salazar,,1
2002,Monarcas Residencial,Los Piscacha,1,1
2002,Morelos,Cártel de Sinaloa (Los Guzmán),,1
2002,Morelos,Los Rusos,,1
2002,Netzahualcóyotl,Los Rusos,,1
2002,Pachuca,Los Rusos,,1
2002,Pueblo Nuevo,Cártel Jalisco Nueva Generación,,1
2002,San Fernando,Los Arzate,1,1
2002,Valle de Puebla,Los Piscacha,,1
2002,Venustiano Carranza,Los Rusos,,1
2002,Villa del Rey Quinta Etapa,Cártel de Sinaloa (Los Guzmán),,1
2002,Villa Lomas Altas,Cártel de Sinaloa,1,
2002,Villa Residencial del Prado,Los Rusos,,1
2002,Villa Toledo,Los Rusos,,1
2002,Villas del Paraíso,Cártel de Sinaloa,,1
2003,,Cártel de Ensenada,1,
2003,,Cártel de Los Arellano Félix,1,1
2003,,Cártel de Los Beltrán Leyva,1,1
2003,,Cártel de Los Cabos,1,1
2003,,Cártel de Sinaloa,1,1
2003,,Cártel de Sinaloa (Los Guzmán),1,1
2003,,Cártel de Sinaloa (Los Zambada),1,1
2003,,Cártel de Tijuana Nueva Generación,1,1
2003,,Cártel Jalisco Nueva Generación,1,1
2003,,El Speed,,1
2003,,La Nueva Familia Michoacana,1,1
2003,,Los Arzate,1,1
2003,,Los Niño Serrano,1,
2003,,Los Rusos,1,1
2003, Benito Juárez,Cártel de Sinaloa,1,
2003, Benito Juárez,Cártel Jalisco Nueva Generación,1,
2003, Centro,Cártel de Los Arellano Félix,1,
2003, Centro,Cártel de Sinaloa,1,
2003, CERESO El Hongo,Cártel de Sinaloa,1,
2003, CERESO El Hongo,Cártel Jalisco Nueva Generación,1,
2003, La Hacienda,Cártel de Sinaloa,1,
2003, La Rumorosa,Cártel de Sinaloa,1,
2003, Loma Alta,Cártel de Los Arellano Félix,1,
2003, Loma Alta,Cártel de Sinaloa,1,
2003, Los Álamos,Cártel de Sinaloa,1,
2003, Mi Ranchito (Chula Vista),Los Rusos,1,
2003, Nueva Colonia Hindú,Cártel Jalisco Nueva Generación,1,
2003, Santa Isabel,Cártel de Sinaloa,1,
2003, Tanamá,Cártel Jalisco Nueva Generación,1,
2003, Valle Verde,Cártel de Los Arellano Félix,1,
2003, Villa de las Palmas,Cártel de Sinaloa,1,
2003,Braulio Maldonado,Cártel de Los Arellano Félix,1,1
2003,Braulio Maldonado,Cártel de Sinaloa,1,1
2003,Centro,Cártel de Los Arellano Félix,,1
2003,Centro,Cártel de Sinaloa,,1
2003,CERESO El Hongo,Cártel de Sinaloa (Los Guzmán),1,1
2003,CERESO El Hongo,Cártel Jalisco Nueva Generación,,1
2003,CERESO El Hongo,Los Arzate,1,
2003,CERESO El Hongo,Los Sillas,1,
2003,La Hacienda,Cártel Jalisco Nueva Generación,1,
