original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
115,Tijuana,JUAN MANUEL GASTELUM BUENROSTRO,2016-12-01,2019-04-05,2004,Juan Manuel,Gastelum,Buenrostro
116,Tijuana,EDUARDO ALEJANDRO TERREROS MARTINEZ,2019-04-06,2019-09-30,2004,Eduardo Alejandro,Terreros,Martinez
117,Tijuana,LUIS ARTURO GONZALEZ CRUZ,2019-10-01,2021-09-30,2004,Luis Arturo,Gonzalez,Cruz
118,Tijuana,MONSERRAT CABALLERO RAMIREZ,2021-10-01,2024-09-30,2004,Monserrat,Caballero,Ramirez
119,Tijuana,ISMAEL BURGUEÑO RUÍZ,2024-10-01,2027-09-30,2004,Ismael,Burgueño,Ruíz
120,Playas de Rosarito,LUIS ENRIQUE DIAZ FELIX,2001-12-01,2004-11-30,2005,Luis Enrique,Diaz,Felix
121,Playas de Rosarito,JOSE ANTONIO MACIAS GARAY,2004-12-01,2007-11-30,2005,Jose Antonio,Macias,Garay
122,Playas de Rosarito,JAVIER ROBLES AGUIRRE,2010-12-01,2013-11-30,2005,Javier,Robles,Aguirre
123,Playas de Rosarito,SILVANO ABARCA MACKLIS,2013-12-01,2016-11-30,2005,Silvano,Abarca,Macklis
124,Playas de Rosarito,MIRNA CECILIA RINCON VARGAS,2016-12-01,2019-09-30,2005,Mirna Cecilia,Rincon,Vargas
125,Playas de Rosarito,HILDA ARACELI BROWN FIGUEREDO,2019-10-01,2024-09-30,2005,Hilda Araceli,Brown,Figueredo
126,Comondú,JAVIER GALLO REYNA,2002-04-30,2005-04-29,3001,Javier,Gallo,Reyna
127,Comondú,MARCOS ALBERTO COVARRUBIAS VILLASEÑOR,2005-04-30,2008-04-29,3001,Marcos Alberto,Covarrubias,Villaseñor
128,Comondú,JOEL VILLEGAS IBARRA,2008-04-30,2011-04-29,3001,Joel,Villegas,Ibarra
129,Comondú,VENUSTIANO PÉREZ SÁNCHEZ,2011-04-30,2015-09-26,3001,Venustiano,Pérez,Sánchez
130,Comondú,FRANCISCO PELAYO COVARRUBIAS,2015-09-27,2018-09-26,3001,Francisco,Pelayo,Covarrubias
131,Comondú,JOSE WALTER VALENZUELA ACOSTA,2018-09-27,2021-09-24,3001,Jose Walter,Valenzuela,Acosta
132,Comondú,ILIANA GUADALUPE TALAMANTES HIGUERA,2021-09-25,2024-09-24,3001,Iliana Guadalupe,Talamantes,Higuera
133,Comondú,ROBERTO PANTOJA CASTRO,2024-09-25,2027-09-24,3001,Roberto,Pantoja,Castro
134,Mulegé,MARCO ANTONIO NUÑEZ ROSAS,2002-04-30,2005-04-29,3002,Marco Antonio,Nuñez,Rosas
135,Mulegé,PEDRO GRACIANO OSUNA LOPEZ,2005-04-30,2008-04-29,3002,Pedro Graciano,Osuna,Lopez
136,Mulegé,JOSE MANUEL MURILLO PERALTA,2008-04-30,2011-04-29,3002,Jose Manuel,Murillo,Peralta
